source	target	value
0	207	0.08662038152413604
0	301	0.13174780044880646
1	14	0.0726317159254539
1	22	0.058064227913902144
1	35	0.0473976220373991
1	43	0.0730587810700877
1	51	0.06112981484658831
1	71	0.047030575937842926
1	132	0.07281917027074034
1	135	0.06888183697604523
1	141	0.06266742802763461
1	155	0.05968887959114448
1	163	0.04471390445095609
1	169	0.0641698520282565
1	190	0.05251147775003518
1	191	0.07132863989145398
1	205	0.06234819386002706
1	211	0.06252747497663684
1	216	0.07370095735679796
1	221	0.0753179772976172
1	223	0.06040357352704195
1	224	0.04986835312183768
1	229	0.06679465674589179
1	345	0.061539961101364726
1	346	0.06873131709322501
1	347	0.04984054847049423
1	352	0.04826738107100761
1	353	0.07139743433399691
1	354	0.06108972180244976
1	358	0.05654870488988511
1	360	0.06663088288817708
1	367	0.05269768579634204
2	298	0.07758778848536613
3	271	0.14624995991271125
3	360	0.11334412131877598
4	11	0.05385509151108765
4	67	0.05865739712332394
4	123	0.05882677377948664
4	130	0.06431556003220153
4	137	0.06669436184996823
4	172	0.07179383755278362
4	233	0.0755863468077516
4	342	0.056768301864977506
5	201	0.09014562542347322
6	21	0.0608624645739153
6	44	0.06588583216440945
6	70	0.07077715934859943
6	105	0.04814109066039279
6	106	0.06682363513182955
6	107	0.07340522855878281
6	112	0.07486981847465256
6	141	0.0750660044177362
6	142	0.05894950549130983
6	154	0.05949044835049978
6	169	0.0520929894550931
6	170	0.05697133159009483
6	191	0.062805300193052
6	197	0.06037491817327052
6	215	0.05799089452066895
6	346	0.0648219356204959
7	34	0.06317113645698402
7	50	0.071149322239086
7	112	0.07376635487774946
7	119	0.07616683121843379
7	147	0.06972447233240968
7	161	0.06636093199996819
7	167	0.07537500746002375
7	168	0.07267671390174721
7	189	0.07389509686273454
7	203	0.04908868729905042
7	332	0.07287458916367542
7	372	0.07160185238091694
8	231	0.0925373535613777
9	64	0.07297208348544121
9	186	0.0732176433745782
9	363	0.06500787351312642
10	148	0.0807442295470842
10	318	0.0854693676941282
11	67	0.05926262857492265
11	130	0.0749067977565399
11	172	0.074699448246391
11	342	0.05937899802179991
12	145	0.08188531810790556
13	177	0.356284711521082
14	120	0.07252704612299707
14	135	0.06720124235019426
14	141	0.06550284722280786
14	163	0.06530409763287318
14	169	0.06296038740532846
14	190	0.06757032712782186
14	191	0.06423089937287475
14	215	0.07301664345682522
14	216	0.06317927042411738
14	358	0.07286456439054388
14	359	0.07368565985177464
14	360	0.062299308510840735
15	278	0.10172708609238162
16	190	0.0689900242010594
16	360	0.06925097968496194
17	45	0.07021252645207646
17	108	0.06792792072386661
17	143	0.06186993555050992
17	157	0.06706768575656967
17	164	0.06161620766108934
17	185	0.07097017772388302
17	212	0.07337214900533293
17	245	0.0755301105998867
18	39	0.08856615355994239
18	356	0.08063023632273746
19	47	0.058347357643045675
19	117	0.07279097604778563
19	124	0.073198710424585
19	138	0.054298575682843485
19	357	0.06798839081141025
20	22	0.07275215774343359
20	34	0.06440502615627133
20	43	0.07632195382101821
20	50	0.07393425431054872
20	112	0.05964838001094539
20	113	0.06184716961299622
20	120	0.06493671090559616
20	132	0.05794182619283123
20	139	0.06472984485494566
20	141	0.056073350800716695
20	188	0.07208072538312472
20	204	0.07300542040771914
20	359	0.07293141472984901
21	34	0.07631287064449391
21	43	0.061934995143953335
21	49	0.06447391133498456
21	50	0.06188017075669778
21	100	0.06277507286600874
21	105	0.05494032720993729
21	107	0.06179805403666226
21	112	0.056796823830062786
21	113	0.057545418780945726
21	120	0.0617035222860106
21	126	0.06562318902573731
21	132	0.07328012514342833
21	134	0.06967199005451966
21	141	0.0542073027807564
21	142	0.058507751567115115
21	146	0.058008247666324494
21	153	0.06950263504425072
21	154	0.055488102317599534
21	160	0.06484778361632693
21	161	0.06610417774060232
21	168	0.06536846618428896
21	169	0.05436592741301742
21	170	0.05465687815572913
21	188	0.06836829338173099
21	189	0.055368198113929956
21	190	0.07040015243006932
21	191	0.06579239763487367
21	204	0.07263052207148656
21	215	0.05493410168306735
