"id","date_day","day","colour"
"159",2018-03-10,6,"#80cdc1"
"160",2018-03-11,7,"#01665e"
"161",2018-03-12,1,"#f6e8c3"
"162",2018-03-13,2,"#dfc27d"
"163",2018-03-14,3,"#bf812d"
"164",2018-03-15,4,"#8c510a"
"165",2018-03-16,5,"#543005"
"166",2018-03-17,6,"#80cdc1"
"167",2018-03-18,7,"#01665e"
"168",2018-03-19,1,"#f6e8c3"
"169",2018-03-20,2,"#dfc27d"
"170",2018-03-21,3,"#bf812d"
"171",2018-03-22,4,"#8c510a"
"172",2018-03-23,5,"#543005"
"173",2018-03-24,6,"#80cdc1"
"174",2018-03-25,7,"#01665e"
"175",2018-03-26,1,"#f6e8c3"
"176",2018-03-27,2,"#dfc27d"
"177",2018-03-28,3,"#bf812d"
"178",2018-03-29,4,"#8c510a"
"179",2018-03-30,5,"#543005"
"180",2018-03-31,6,"#80cdc1"
"181",2018-04-01,7,"#01665e"
"182",2018-04-02,1,"#f6e8c3"
"183",2018-04-03,2,"#dfc27d"
"184",2018-04-04,3,"#bf812d"
"185",2018-04-05,4,"#8c510a"
"186",2018-04-06,5,"#543005"
"187",2018-04-07,6,"#80cdc1"
"188",2018-04-08,7,"#01665e"
"189",2018-04-09,1,"#f6e8c3"
"190",2018-04-10,2,"#dfc27d"
"191",2018-04-11,3,"#bf812d"
"192",2018-04-12,4,"#8c510a"
"193",2018-04-13,5,"#543005"
"194",2018-04-14,6,"#80cdc1"
"195",2018-04-15,7,"#01665e"
"196",2018-04-16,1,"#f6e8c3"
"197",2018-04-17,2,"#dfc27d"
"198",2018-04-18,3,"#bf812d"
"199",2018-04-19,4,"#8c510a"
"200",2018-04-20,5,"#543005"
"201",2018-04-21,6,"#80cdc1"
"202",2018-04-22,7,"#01665e"
"203",2018-04-23,1,"#f6e8c3"
"204",2018-04-24,2,"#dfc27d"
"205",2018-04-25,3,"#bf812d"
"206",2018-04-26,4,"#8c510a"
"207",2018-04-28,6,"#80cdc1"
"208",2018-04-29,7,"#01665e"
"209",2018-04-30,1,"#f6e8c3"
"210",2018-05-01,2,"#dfc27d"
"211",2018-05-02,3,"#bf812d"
"212",2018-05-03,4,"#8c510a"
"213",2018-05-04,5,"#543005"
"214",2018-05-05,6,"#80cdc1"
"215",2018-05-07,1,"#f6e8c3"
"216",2018-05-08,2,"#dfc27d"
"217",2018-05-09,3,"#bf812d"
"218",2018-05-10,4,"#8c510a"
"219",2018-05-11,5,"#543005"
"220",2018-05-12,6,"#80cdc1"
"221",2018-05-13,7,"#01665e"
"222",2018-05-14,1,"#f6e8c3"
"223",2018-05-15,2,"#dfc27d"
"224",2018-05-16,3,"#bf812d"
"225",2018-05-17,4,"#8c510a"
"226",2018-05-18,5,"#543005"
"227",2018-05-19,6,"#80cdc1"
"228",2018-05-20,7,"#01665e"
"229",2018-05-21,1,"#f6e8c3"
"230",2018-05-22,2,"#dfc27d"
"231",2018-05-23,3,"#bf812d"
"232",2018-05-24,4,"#8c510a"
"233",2018-05-25,5,"#543005"
"234",2018-05-26,6,"#80cdc1"
"235",2018-05-27,7,"#01665e"
"236",2018-06-01,5,"#543005"
"237",2018-06-02,6,"#80cdc1"
"238",2018-06-03,7,"#01665e"
"239",2018-06-04,1,"#f6e8c3"
"240",2018-06-05,2,"#dfc27d"
"241",2018-06-06,3,"#bf812d"
"242",2018-06-07,4,"#8c510a"
"243",2018-06-08,5,"#543005"
"244",2018-06-09,6,"#80cdc1"
"245",2018-06-10,7,"#01665e"
"246",2018-06-11,1,"#f6e8c3"
"247",2018-06-14,4,"#8c510a"
"248",2018-06-15,5,"#543005"
"249",2018-06-16,6,"#80cdc1"
"250",2018-06-17,7,"#01665e"
"251",2018-06-18,1,"#f6e8c3"
"252",2018-06-21,4,"#8c510a"
"253",2018-06-22,5,"#543005"
"254",2018-06-23,6,"#80cdc1"
"255",2018-06-24,7,"#01665e"
"256",2018-06-25,1,"#f6e8c3"
"257",2018-06-26,2,"#dfc27d"
"258",2018-06-27,3,"#bf812d"
"259",2018-06-28,4,"#8c510a"
"260",2018-06-29,5,"#543005"
"261",2018-06-30,6,"#80cdc1"
"262",2018-07-01,7,"#01665e"
"263",2018-07-02,1,"#f6e8c3"
"264",2018-07-03,2,"#dfc27d"
"265",2018-07-04,3,"#bf812d"
"266",2018-07-05,4,"#8c510a"
"267",2018-07-06,5,"#543005"
"268",2018-07-08,7,"#01665e"
"269",2018-07-09,1,"#f6e8c3"
"270",2018-07-10,2,"#dfc27d"
"271",2018-07-11,3,"#bf812d"
"272",2018-07-12,4,"#8c510a"
"273",2018-07-13,5,"#543005"
"274",2018-07-14,6,"#80cdc1"
"275",2018-07-15,7,"#01665e"
"276",2018-07-16,1,"#f6e8c3"
"277",2018-07-17,2,"#dfc27d"
"278",2018-07-18,3,"#bf812d"
"279",2018-07-19,4,"#8c510a"
"280",2018-07-20,5,"#543005"
"281",2018-07-21,6,"#80cdc1"
"282",2018-07-22,7,"#01665e"
"283",2018-07-23,1,"#f6e8c3"
"284",2018-07-24,2,"#dfc27d"
"285",2018-07-25,3,"#bf812d"
"286",2018-07-26,4,"#8c510a"
"287",2018-07-27,5,"#543005"
"288",2018-07-28,6,"#80cdc1"
"289",2018-07-29,7,"#01665e"
"290",2018-07-30,1,"#f6e8c3"
"291",2018-07-31,2,"#dfc27d"
"292",2018-08-01,3,"#bf812d"
"293",2018-08-02,4,"#8c510a"
"294",2018-08-03,5,"#543005"
"295",2018-08-05,7,"#01665e"
"296",2018-08-06,1,"#f6e8c3"
"297",2018-08-07,2,"#dfc27d"
"298",2018-08-08,3,"#bf812d"
"299",2018-08-09,4,"#8c510a"
"300",2018-08-10,5,"#543005"
"301",2018-08-11,6,"#80cdc1"
"302",2018-08-12,7,"#01665e"
"303",2018-08-13,1,"#f6e8c3"
"304",2018-08-14,2,"#dfc27d"
"305",2018-08-15,3,"#bf812d"
